LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
CAN,PHARMAEXP,TOT,USD_CAP,A,1970,32.674,
CAN,PHARMAEXP,TOT,USD_CAP,A,1971,36.119,
CAN,PHARMAEXP,TOT,USD_CAP,A,1972,37.065,
CAN,PHARMAEXP,TOT,USD_CAP,A,1973,40.116,
CAN,PHARMAEXP,TOT,USD_CAP,A,1974,42.117,
CAN,PHARMAEXP,TOT,USD_CAP,A,1975,45.414,B
CAN,PHARMAEXP,TOT,USD_CAP,A,1976,48.653,
CAN,PHARMAEXP,TOT,USD_CAP,A,1977,51.674,
CAN,PHARMAEXP,TOT,USD_CAP,A,1978,55.478,
CAN,PHARMAEXP,TOT,USD_CAP,A,1979,62.847,
CAN,PHARMAEXP,TOT,USD_CAP,A,1980,70.718,
CAN,PHARMAEXP,TOT,USD_CAP,A,1981,84.079,
CAN,PHARMAEXP,TOT,USD_CAP,A,1982,90.33,
CAN,PHARMAEXP,TOT,USD_CAP,A,1983,97.525,
CAN,PHARMAEXP,TOT,USD_CAP,A,1984,107.796,
CAN,PHARMAEXP,TOT,USD_CAP,A,1985,121.991,
CAN,PHARMAEXP,TOT,USD_CAP,A,1986,137.509,
CAN,PHARMAEXP,TOT,USD_CAP,A,1987,150.061,
CAN,PHARMAEXP,TOT,USD_CAP,A,1988,166.289,
CAN,PHARMAEXP,TOT,USD_CAP,A,1989,184.605,
CAN,PHARMAEXP,TOT,USD_CAP,A,1990,202.456,
CAN,PHARMAEXP,TOT,USD_CAP,A,1991,218.989,
CAN,PHARMAEXP,TOT,USD_CAP,A,1992,241.843,
CAN,PHARMAEXP,TOT,USD_CAP,A,1993,258.218,
CAN,PHARMAEXP,TOT,USD_CAP,A,1994,267.036,
CAN,PHARMAEXP,TOT,USD_CAP,A,1995,284.922,
CAN,PHARMAEXP,TOT,USD_CAP,A,1996,291.431,
CAN,PHARMAEXP,TOT,USD_CAP,A,1997,319.045,
CAN,PHARMAEXP,TOT,USD_CAP,A,1998,345.415,
CAN,PHARMAEXP,TOT,USD_CAP,A,1999,369.052,
CAN,PHARMAEXP,TOT,USD_CAP,A,2000,406.88,
CAN,PHARMAEXP,TOT,USD_CAP,A,2001,443.785,
CAN,PHARMAEXP,TOT,USD_CAP,A,2002,480.949,
CAN,PHARMAEXP,TOT,USD_CAP,A,2003,519.735,
CAN,PHARMAEXP,TOT,USD_CAP,A,2004,561.49,
CAN,PHARMAEXP,TOT,USD_CAP,A,2005,594.446,
CAN,PHARMAEXP,TOT,USD_CAP,A,2006,624.988,
CAN,PHARMAEXP,TOT,USD_CAP,A,2007,657.023,
CAN,PHARMAEXP,TOT,USD_CAP,A,2008,674.427,
CAN,PHARMAEXP,TOT,USD_CAP,A,2009,692.957,
CAN,PHARMAEXP,TOT,USD_CAP,A,2010,756.109,B
CAN,PHARMAEXP,TOT,USD_CAP,A,2011,755.102,
CAN,PHARMAEXP,TOT,USD_CAP,A,2012,754.036,
