LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
AUS,PHARMAEXP,TOT,USD_CAP,A,2015,635.268,
AUS,PHARMAEXP,TOT,USD_CAP,A,2016,678.481,
AUS,PHARMAEXP,TOT,USD_CAP,A,2017,651.253,
AUT,PHARMAEXP,TOT,USD_CAP,A,2015,607.802,
AUT,PHARMAEXP,TOT,USD_CAP,A,2016,621.632,
AUT,PHARMAEXP,TOT,USD_CAP,A,2017,647.248,
AUT,PHARMAEXP,TOT,USD_CAP,A,2018,664.888,
BEL,PHARMAEXP,TOT,USD_CAP,A,2015,668.298,
BEL,PHARMAEXP,TOT,USD_CAP,A,2016,684.533,
BEL,PHARMAEXP,TOT,USD_CAP,A,2017,709.746,
BEL,PHARMAEXP,TOT,USD_CAP,A,2018,744.259,
CAN,PHARMAEXP,TOT,USD_CAP,A,2015,771.576,
CAN,PHARMAEXP,TOT,USD_CAP,A,2016,835.06,
CAN,PHARMAEXP,TOT,USD_CAP,A,2017,852.173,
CAN,PHARMAEXP,TOT,USD_CAP,A,2018,865.192,P
CAN,PHARMAEXP,TOT,USD_CAP,A,2019,879.282,P
CZE,PHARMAEXP,TOT,USD_CAP,A,2015,444.375,
CZE,PHARMAEXP,TOT,USD_CAP,A,2016,465.57,
CZE,PHARMAEXP,TOT,USD_CAP,A,2017,491.083,
CZE,PHARMAEXP,TOT,USD_CAP,A,2018,508.352,
DNK,PHARMAEXP,TOT,USD_CAP,A,2015,316.501,
DNK,PHARMAEXP,TOT,USD_CAP,A,2016,320.364,
DNK,PHARMAEXP,TOT,USD_CAP,A,2017,323.249,
DNK,PHARMAEXP,TOT,USD_CAP,A,2018,339.015,
FIN,PHARMAEXP,TOT,USD_CAP,A,2015,484.386,
FIN,PHARMAEXP,TOT,USD_CAP,A,2016,515.977,
FIN,PHARMAEXP,TOT,USD_CAP,A,2017,516.751,
FIN,PHARMAEXP,TOT,USD_CAP,A,2018,536.776,
FRA,PHARMAEXP,TOT,USD_CAP,A,2015,637.505,
FRA,PHARMAEXP,TOT,USD_CAP,A,2016,659.643,
FRA,PHARMAEXP,TOT,USD_CAP,A,2017,667.48,
FRA,PHARMAEXP,TOT,USD_CAP,A,2018,671.396,
DEU,PHARMAEXP,TOT,USD_CAP,A,2015,759.325,
DEU,PHARMAEXP,TOT,USD_CAP,A,2016,816.667,
