"","therapeutic_class","year","expenditure","purchases"
"1"," Alternative Medicines",1996,NA,NA
"2"," Alternative Medicines",1997,NA,NA
"3"," Alternative Medicines",1998,NA,NA
"4"," Alternative Medicines",1999,NA,NA
"5"," Alternative Medicines",2000,NA,NA
"6"," Alternative Medicines",2001,NA,NA
"7"," Alternative Medicines",2002,NA,NA
"8"," Alternative Medicines",2003,NA,NA
"9"," Alternative Medicines",2004,NA,NA
"10"," Alternative Medicines",2005,NA,NA
"11"," Alternative Medicines",2006,NA,NA
"12"," Alternative Medicines",2007,400,3024
"13"," Alternative Medicines",2008,530,3435
"14"," Alternative Medicines",2009,720,5472
"15"," Alternative Medicines",2010,743,5457
"16"," Alternative Medicines",2011,1119,6198
"17"," Alternative Medicines",2012,862,6656
"18"," Alternative Medicines",2013,699,5810
"19"," Alternative Medicines",2014,955,5662
"20"," Alternative Medicines",2015,891,8790
"21"," Alternative Medicines",2016,637,7472
"22"," Alternative Medicines",2017,390,5476
"23"," Alternative Medicines",2018,328,5192
"24"," Anti-Infectives",1996,5425,190794
"25"," Anti-Infectives",1997,5477,157277
"26"," Anti-Infectives",1998,5553,141012
"27"," Anti-Infectives",1999,5501,131199
"28"," Anti-Infectives",2000,5885,130744
"29"," Anti-Infectives",2001,7379,147917
"30"," Anti-Infectives",2002,9529,149825
"31"," Anti-Infectives",2003,10445,169130
"32"," Anti-Infectives",2004,10947,158948
"33"," Anti-Infectives",2005,11645,169081
"34"," Anti-Infectives",2006,10480,166228
"35"," Anti-Infectives",2007,10800,153109
"36"," Anti-Infectives",2008,9620,159562
"37"," Anti-Infectives",2009,15705,162865
"38"," Anti-Infectives",2010,13980,148747
"39"," Anti-Infectives",2011,15296,157038
"40"," Anti-Infectives",2012,15654,146182
"41"," Anti-Infectives",2013,14076,153986
"42"," Anti-Infectives",2014,32038,161111
"43"," Anti-Infectives",2015,45543,150767
"44"," Anti-Infectives",2016,23835,139951
"45"," Anti-Infectives",2017,36344,144425
"46"," Anti-Infectives",2018,37432,162937
"47"," Antihyperlipidemic Agents",1996,4139,44824
"48"," Antihyperlipidemic Agents",1997,4814,56173
"49"," Antihyperlipidemic Agents",1998,5543,69286
"50"," Antihyperlipidemic Agents",1999,6893,84081
"51"," Antihyperlipidemic Agents",2000,8258,101387
"52"," Antihyperlipidemic Agents",2001,11266,126455
"53"," Antihyperlipidemic Agents",2002,14279,150321
"54"," Antihyperlipidemic Agents",2003,18622,183143
"55"," Antihyperlipidemic Agents",2004,21519,214263
"56"," Antihyperlipidemic Agents",2005,NA,NA
"57"," Antihyperlipidemic Agents",2006,NA,NA
"58"," Antihyperlipidemic Agents",2007,NA,NA
"59"," Antihyperlipidemic Agents",2008,NA,NA
"60"," Antihyperlipidemic Agents",2009,NA,NA
"61"," Antihyperlipidemic Agents",2010,NA,NA
"62"," Antihyperlipidemic Agents",2011,NA,NA
"63"," Antihyperlipidemic Agents",2012,NA,NA
"64"," Antihyperlipidemic Agents",2013,NA,NA
"65"," Antihyperlipidemic Agents",2014,NA,NA
"66"," Antihyperlipidemic Agents",2015,NA,NA
"67"," Antihyperlipidemic Agents",2016,NA,NA
"68"," Antihyperlipidemic Agents",2017,NA,NA
"69"," Antihyperlipidemic Agents",2018,NA,NA
"70"," Antineoplastics",1996,1600,27233
"71"," Antineoplastics",1997,1231,23854
"72"," Antineoplastics",1998,1975,22569
"73"," Antineoplastics",1999,1547,28946
"74"," Antineoplastics",2000,1520,24580
