Therapeutic class,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 Alternative Medicines,,,,,,,,,,,,400.00,530.00,720.00,743.00,1119.00,862.00,699.00,955.00,891.00,637.00,390.00,328.00
 Anti-Infectives,5425.00,5477.00,5553.00,5501.00,5885.00,7379.00,9529.00,10445.00,10947.00,11645.00,10480.00,10800.00,9620.00,15705.00,13980.00,15296.00,15654.00,14076.00,32038.00,45543.00,23835.00,36344.00,37432.00
 Antihyperlipidemic Agents,4139.00,4814.00,5543.00,6893.00,8258.00,11266.00,14279.00,18622.00,21519.00,,,,,,,,,,,,,,
 Antineoplastics,1600.00,1231.00,1975.00,1547.00,1520.00,1915.00,1814.00,1903.00,2009.00,3553.00,4316.00,10107.00,4623.00,5465.00,7907.00,8768.00,8233.00,9539.00,11238.00,6101.00,12272.00,20844.00,24615.00
 Cardiovascular Agents,14243.00,14532.00,15419.00,18965.00,19250.00,22697.00,25006.00,28622.00,31856.00,32852.00,33141.00,29239.00,29706.00,28117.00,28227.00,24567.00,25973.00,28357.00,27450.00,28724.00,31899.00,26082.00,26849.00
 Central Nervous System Agents,7250.00,8092.00,8986.00,10890.00,13313.00,18011.00,19188.00,23460.00,24790.00,28425.00,31021.00,34367.00,38752.00,38418.00,37780.00,38996.00,40450.00,43238.00,46098.00,52743.00,49135.00,52263.00,60372.00
 Coagulation Modifiers,1023.00,1160.00,924.00,1511.00,1584.00,1954.00,2841.00,3392.00,4630.00,4964.00,9416.00,5546.00,6373.00,7366.00,11477.00,,24022.00,7188.00,21542.00,9190.00,11728.00,12412.00,15834.00
 Gastrointestinal Agents,5330.00,5549.00,6127.00,6714.00,7007.00,10288.00,12263.00,16000.00,16306.00,16081.00,14622.00,18945.00,20843.00,19520.00,19214.00,17874.00,16340.00,16804.00,18132.00,18691.00,18698.00,16065.00,17157.00
 Genitourinary Tract Agents,,,,,,,,,,,,,2089.00,2180.00,2388.00,3172.00,2796.00,2493.00,2616.00,3598.00,3981.00,4144.00,4277.00
 Hormones/Hormone Modifiers,7907.00,9570.00,10715.00,13124.00,15852.00,21322.00,21835.00,24734.00,25146.00,18269.00,17599.00,17031.00,11251.00,14558.00,14156.00,12171.00,12356.00,15009.00,17754.00,20137.00,16042.00,15974.00,16928.00
 Immunologic Agents,,927.00,1267.00,2576.00,,746.00,1615.00,1571.00,2068.00,2066.00,,3091.00,3040.00,9945.00,11110.00,12250.00,10624.00,17718.00,11080.00,13699.00,20496.00,26542.00,30875.00
 Metabolic Agents,,,,,,,,,,35630.00,38275.00,41157.00,52823.00,45648.00,49678.00,50974.00,53034.00,56581.00,67145.00,80849.00,85180.00,85050.00,98686.00
 Miscellaneous Agents,632.00,678.00,839.00,1942.00,1694.00,1848.00,2396.00,3989.00,5954.00,7173.00,9063.00,10600.00,10844.00,9962.00,10146.00,18430.00,15754.00,20192.00,17131.00,18521.00,28697.00,43276.00,40675.00
 Not Ascertained,634.00,1972.00,869.00,2195.00,1449.00,2258.00,1778.00,1431.00,2538.00,2379.00,3490.00,3276.00,3716.00,2753.00,4056.00,4232.00,4784.00,9000.00,8920.00,6500.00,9335.00,7899.00,6515.00
 Nutritional Products,904.00,972.00,1096.00,1052.00,1134.00,1168.00,1321.00,1497.00,1528.00,1772.00,2241.00,2163.00,2858.00,2799.00,3625.00,3551.00,3032.00,2935.00,2888.00,2264.00,2145.00,1941.00,2471.00
 Psychotherapeutic Agents,5852.00,7913.00,8981.00,8980.00,13163.00,15272.00,16434.00,19368.00,20043.00,18792.00,18887.00,18091.00,20892.00,22308.00,24944.00,24267.00,24128.00,26995.00,27728.00,25064.00,24310.00,19539.00,23191.00
 Respiratory Agents,4917.00,5158.00,5472.00,7282.00,8004.00,11736.00,13518.00,14373.00,13674.00,15387.00,16139.00,17785.00,18401.00,20232.00,21067.00,23152.00,23711.00,25353.00,24077.00,24715.00,27161.00,27981.00,32801.00
 Topical Agents,3443.00,3822.00,3943.00,4796.00,4394.00,5901.00,6489.00,7432.00,7653.00,7664.00,8254.00,8537.00,8473.00,9714.00,10186.00,10797.00,10668.00,11614.00,13376.00,14730.00,15120.00,12657.00,14550.00
